ID,time,RR,VO2,power,remain,power_idx,last_power_idx_x,test,last_power_idx_y,HR,time_rest,HR_mean,VO2_mean
1,-130.84,672.0,0.30201,0,1,1,11,rest,11,89.29,-785.02,89.29,0.30201
1,-130.168,672.0,0.30201,0,1,1,11,rest,11,89.29,-784.348,89.29,0.30201
1,-129.536,632.0,0.30134,0,1,1,11,rest,11,94.94,-783.716,91.17,0.30178
1,-128.824,712.0,0.30134,0,1,1,11,rest,11,84.27,-783.004,89.45,0.30167
1,-127.948,876.0,0.30134,0,1,1,11,rest,11,68.49,-782.128,85.26,0.3016
1,-127.232,716.0,0.37117,0,1,1,11,rest,11,83.8,-781.412,85.01,0.3132
1,-126.46,772.0,0.37117,0,1,1,11,rest,11,77.72,-780.64,83.97,0.32148
1,-125.608,852.0,0.37117,0,1,1,11,rest,11,70.42,-779.788,82.28,0.32769
1,-124.912,696.0,0.41009,0,1,1,11,rest,11,86.21,-779.092,82.71,0.33685
1,-124.14,772.0,0.41009,0,1,1,11,rest,11,77.72,-778.32,82.22,0.34417
1,-123.384,756.0,0.41009,0,1,1,11,rest,11,79.37,-777.564,81.96,0.35017
1,-122.688,696.0,0.40367,0,1,1,11,rest,11,86.21,-776.868,82.31,0.35462
1,-121.896,792.0,0.40367,0,1,1,11,rest,11,75.76,-776.076,81.81,0.3584
1,-121.056,840.0,0.40367,0,1,1,11,rest,11,71.43,-775.236,81.07,0.36163
1,-120.256,800.0,0.40515,0,1,1,11,rest,11,75.0,-774.436,80.66,0.36453
1,-119.372,884.0,0.40515,0,1,1,11,rest,11,67.87,-773.552,79.86,0.36707
1,-118.608,764.0,0.40515,0,1,1,11,rest,11,78.53,-772.788,79.78,0.36931
1,-117.9,708.0,0.38733,0,1,1,11,rest,11,84.75,-772.08,80.06,0.37031
1,-117.172,728.0,0.38733,0,1,1,11,rest,11,82.42,-771.352,80.18,0.37121
1,-116.452,720.0,0.38733,0,1,1,11,rest,11,83.33,-770.632,80.34,0.37201
1,-115.716,736.0,0.36779,0,1,1,11,rest,11,81.52,-769.896,80.4,0.37181
1,-114.688,1028.0,0.36779,0,1,1,11,rest,11,58.37,-768.868,79.4,0.37163
1,-113.884,804.0,0.36779,0,1,1,11,rest,11,74.63,-768.064,79.19,0.37146
1,-113.028,856.0,0.31583,0,1,1,11,rest,11,70.09,-767.208,78.81,0.36915
1,-112.124,904.0,0.31583,0,1,1,11,rest,11,66.37,-766.304,78.31,0.36701
1,-111.42,704.0,0.31583,0,1,1,11,rest,11,85.23,-765.6,78.58,0.36504
1,-110.684,736.0,0.31018,0,1,1,11,rest,11,81.52,-764.864,78.69,0.36301
1,-109.952,732.0,0.31018,0,1,1,11,rest,11,81.97,-764.132,78.8,0.36113
1,-109.28,672.0,0.31018,0,1,1,11,rest,11,89.29,-763.46,79.17,0.35937
1,-108.588,692.0,0.30794,0,1,1,11,rest,11,86.71,-762.768,79.42,0.35765
1,-107.892,696.0,0.30794,0,1,1,11,rest,11,86.21,-762.072,79.64,0.35605
1,-107.096,796.0,0.30794,0,1,1,11,rest,11,75.38,-761.276,79.5,0.35455
1,-106.4,696.0,0.3165,0,1,1,11,rest,11,86.21,-760.58,79.71,0.35339
1,-105.672,728.0,0.3165,0,1,1,11,rest,11,82.42,-759.852,79.79,0.35231
1,-104.94,732.0,0.3165,0,1,1,11,rest,11,81.97,-759.12,79.85,0.35129
1,-104.28,660.0,0.32934,0,1,1,11,rest,11,90.91,-758.46,80.16,0.35068
1,-103.568,712.0,0.32934,0,1,1,11,rest,11,84.27,-757.748,80.27,0.3501
1,-102.812,756.0,0.32934,0,1,1,11,rest,11,79.37,-756.992,80.24,0.34955
